Effective Date,Ticker,Security Name,% Wgt,Market Value
31/03/2023,MMM US,3M CO,0.17,632800775
31/03/2023,ABT US,ABBOTT LABORATORIES,0.51,1926119419
31/03/2023,ABBV US,ABBVIE INC,0.82,3074755053
31/03/2023,ACN US,ACCENTURE PLC-CL A,0.52,1963554999
31/03/2023,ATVI US,ACTIVISION BLIZZARD INC,0.18,664997839
31/03/2023,ADBE US,ADOBE INC,0.51,1924682294
31/03/2023,AAP US,ADVANCE AUTO PARTS INC,0.02,79938753
31/03/2023,AMD US,ADVANCED MICRO DEVICES,0.46,1723992372
31/03/2023,AES US,AES CORP,0.05,175470888
31/03/2023,AFL US,AFLAC INC,0.11,397569337
31/03/2023,A US,AGILENT TECHNOLOGIES INC,0.12,446021856
31/03/2023,APD US,AIR PRODUCTS & CHEMICALS INC,0.18,693849098
31/03/2023,AKAM US,AKAMAI TECHNOLOGIES INC,0.04,134932824
31/03/2023,ALK US,ALASKA AIR GROUP INC,0.02,56431165
31/03/2023,ALB US,ALBEMARLE CORP,0.08,282008579
31/03/2023,ARE US,ALEXANDRIA REAL ESTATE EQUIT,0.06,215803558
31/03/2023,ALGN US,ALIGN TECHNOLOGY INC,0.07,263951888
31/03/2023,ALLE US,ALLEGION PLC,0.03,102944394
31/03/2023,LNT US,ALLIANT ENERGY CORP,0.04,146240119
31/03/2023,ALL US,ALLSTATE CORP,0.09,320063826
31/03/2023,GOOGL US,ALPHABET INC-CL A,1.79,6740046887
31/03/2023,GOOG US,ALPHABET INC-CL C,1.57,5890952080
31/03/2023,MO US,ALTRIA GROUP INC,0.23,872179108
31/03/2023,AMZN US,AMAZON.COM INC,2.67,10045919294
31/03/2023,AMCR US,AMCOR PLC,0.05,185795934
31/03/2023,AEE US,AMEREN CORPORATION,0.06,243250656
31/03/2023,AAL US,AMERICAN AIRLINES GROUP INC,0.03,104697993
31/03/2023,AEP US,AMERICAN ELECTRIC POWER,0.14,509219894
31/03/2023,AXP US,AMERICAN EXPRESS CO,0.29,1073787881
31/03/2023,AIG US,AMERICAN INTERNATIONAL GROUP,0.11,407548573
31/03/2023,AMT US,AMERICAN TOWER CORP,0.28,1036296211
31/03/2023,AWK US,AMERICAN WATER WORKS CO INC,0.08,308390016
31/03/2023,AMP US,AMERIPRISE FINANCIAL INC,0.09,355190896
31/03/2023,ABC US,AMERISOURCEBERGEN CORP,0.08,282463180
31/03/2023,AME US,AMETEK INC,0.1,364114142
31/03/2023,AMGN US,AMGEN INC,0.37,1408281022
31/03/2023,APH US,AMPHENOL CORP-CL A,0.14,529694085
31/03/2023,ADI US,ANALOG DEVICES INC,0.29,1090533118
31/03/2023,ANSS US,ANSYS INC,0.08,316264832
31/03/2023,AON US,AON PLC-CLASS A,0.19,710359405
31/03/2023,APA US,APA CORP,0.03,127822387
31/03/2023,AAPL US,APPLE INC,7.12,26755476661
31/03/2023,AMAT US,APPLIED MATERIALS INC,0.3,1129730645
31/03/2023,APTV US,APTIV PLC,0.09,331111732
31/03/2023,ACGL US,ARCH CAPITAL GROUP LTD,0.07,273429634
31/03/2023,ADM US,ARCHER-DANIELS-MIDLAND CO,0.13,476624102
31/03/2023,ANET US,ARISTA NETWORKS INC,0.12,453240465
31/03/2023,AJG US,ARTHUR J GALLAGHER & CO,0.12,442660922
31/03/2023,AIZ US,ASSURANT INC,0.02,69431198
31/03/2023,T US,AT&T INC,0.4,1496934554
31/03/2023,ATO US,ATMOS ENERGY CORP,0.05,175486769
31/03/2023,ADSK US,AUTODESK INC,0.13,490382079
31/03/2023,ADP US,AUTOMATIC DATA PROCESSING,0.27,1006375539
31/03/2023,AZO US,AUTOZONE INC,0.13,503153787
31/03/2023,AVB US,AVALONBAY COMMUNITIES INC,0.07,256113861
31/03/2023,AVY US,AVERY DENNISON CORP,0.04,159480846
31/03/2023,BKR US,BAKER HUGHES CO,0.08,314766929
31/03/2023,BALL US,BALL CORP,0.05,187981753
31/03/2023,BAC US,BANK OF AMERICA CORP,0.58,2177688341
31/03/2023,BK US,BANK OF NEW YORK MELLON CORP,0.1,362682768
31/03/2023,BBWI US,BATH & BODY WORKS INC,0.02,90531513
31/03/2023,BAX US,BAXTER INTERNATIONAL INC,0.06,223312936
31/03/2023,BDX US,BECTON DICKINSON AND CO,0.2,766143726
31/03/2023,BRK/B US,BERKSHIRE HATHAWAY INC-CL B,1.61,6069134334
31/03/2023,BBY US,BEST BUY CO INC,0.05,171443391
31/03/2023,BIO US,BIO-RAD LABORATORIES-A,0.03,110701522
31/03/2023,TECH US,BIO-TECHNE CORP,0.03,127296018
31/03/2023,BIIB US,BIOGEN INC,0.12,437373720
31/03/2023,BLK US,BLACKROCK INC,0.29,1094998821
31/03/2023,BA US,BOEING CO/THE,0.35,1303226186
31/03/2023,BKNG US,BOOKING HOLDINGS INC,0.3,1120717450
31/03/2023,BWA US,BORGWARNER INC,0.03,127133071
31/03/2023,BXP US,BOSTON PROPERTIES INC,0.02,82621757
31/03/2023,BSX US,BOSTON SCIENTIFIC CORP,0.21,780500119
31/03/2023,BMY US,BRISTOL-MYERS SQUIBB CO,0.43,1607668946
31/03/2023,AVGO US,BROADCOM INC,0.78,2924748141
31/03/2023,BR US,BROADRIDGE FINANCIAL SOLUTIO,0.05,187837809
31/03/2023,BRO US,BROWN & BROWN INC,0.04,147245379
31/03/2023,BF/B US,BROWN-FORMAN CORP-CLASS B,0.03,126199415
31/03/2023,BG US,BUNGE LTD,0.04,156464530
31/03/2023,CHRW US,C.H. ROBINSON WORLDWIDE INC,0.03,127385285
31/03/2023,CDNS US,CADENCE DESIGN SYS INC,0.17,628723107
31/03/2023,CZR US,CAESARS ENTERTAINMENT INC,0.03,112579533
31/03/2023,CPT US,CAMDEN PROPERTY TRUST,0.03,125971550
31/03/2023,CPB US,CAMPBELL SOUP CO,0.03,120775061
31/03/2023,COF US,CAPITAL ONE FINANCIAL CORP,0.11,400658621
31/03/2023,CAH US,CARDINAL HEALTH INC,0.06,215551292
31/03/2023,KMX US,CARMAX INC,0.03,112598055
31/03/2023,CCL US,CARNIVAL CORP,0.03,110967666
31/03/2023,CARR US,CARRIER GLOBAL CORP,0.11,417972046
31/03/2023,CTLT US,CATALENT INC,0.03,129096494
31/03/2023,CAT US,CATERPILLAR INC,0.35,1299201799
31/03/2023,CBOE US,CBOE GLOBAL MARKETS INC,0.04,153910053
31/03/2023,CBRE US,CBRE GROUP INC - A,0.07,250540885
31/03/2023,CDW US,CDW CORP/DE,0.08,287864613
31/03/2023,CE US,CELANESE CORP,0.03,117814080
31/03/2023,CNC US,CENTENE CORP,0.1,379791723
31/03/2023,CNP US,CENTERPOINT ENERGY INC,0.05,202327450
31/03/2023,CDAY US,CERIDIAN HCM HOLDING INC,0.03,121659204
31/03/2023,CF US,CF INDUSTRIES HOLDINGS INC,0.04,154899894
31/03/2023,CRL US,CHARLES RIVER LABORATORIES,0.03,112014338
31/03/2023,CHTR US,CHARTER COMMUNICATIONS INC-A,0.11,410937876
31/03/2023,CVX US,CHEVRON CORP,0.84,3166515300
31/03/2023,CMG US,CHIPOTLE MEXICAN GRILL INC,0.14,514687278
31/03/2023,CB US,CHUBB LTD,0.23,877761563
31/03/2023,CHD US,CHURCH & DWIGHT CO INC,0.06,235211445
31/03/2023,CINF US,CINCINNATI FINANCIAL CORP,0.05,193611924
31/03/2023,CTAS US,CINTAS CORP,0.12,435982901
31/03/2023,CSCO US,CISCO SYSTEMS INC,0.62,2342824567
31/03/2023,C US,CITIGROUP INC,0.26,989147926
31/03/2023,CFG US,CITIZENS FINANCIAL GROUP,0.04,162143577
31/03/2023,CLX US,CLOROX COMPANY,0.06,213241692
31/03/2023,CME US,CME GROUP INC,0.2,750403513
31/03/2023,CMS US,CMS ENERGY CORP,0.05,195038940
31/03/2023,KO US,COCA-COLA CO/THE,0.7,2633814704
31/03/2023,CTSH US,COGNIZANT TECH SOLUTIONS-A,0.09,342054805
31/03/2023,CL US,COLGATE-PALMOLIVE CO,0.18,684751169
31/03/2023,CMCSA US,COMCAST CORP-CLASS A,0.46,1739764772
31/03/2023,CMA US,COMERICA INC,0.02,62035457
31/03/2023,CAG US,CONAGRA BRANDS INC,0.05,193942412
31/03/2023,COP US,CONOCOPHILLIPS,0.35,1324610252
31/03/2023,ED US,CONSOLIDATED EDISON INC,0.1,369787606
31/03/2023,STZ US,CONSTELLATION BRANDS INC-A,0.11,399240697
31/03/2023,CEG US,CONSTELLATION ENERGY,0.07,279549176
31/03/2023,COO US,COOPER COS INC/THE,0.05,201011797
31/03/2023,CPRT US,COPART INC,0.09,351043051
31/03/2023,GLW US,CORNING INC,0.08,292988334
31/03/2023,CTVA US,CORTEVA INC,0.13,469965554
31/03/2023,CSGP US,COSTAR GROUP INC,0.08,304985947
31/03/2023,COST US,COSTCO WHOLESALE CORP,0.64,2405249787
31/03/2023,CTRA US,COTERRA ENERGY INC,0.06,211731169
31/03/2023,CCI US,CROWN CASTLE INC,0.17,631199880
31/03/2023,CSX US,CSX CORP,0.18,685602078
31/03/2023,CMI US,CUMMINS INC,0.1,368231131
31/03/2023,CVS US,CVS HEALTH CORP,0.28,1041004406
31/03/2023,DHR US,DANAHER CORP,0.48,1802309559
31/03/2023,DRI US,DARDEN RESTAURANTS INC,0.05,206458223
31/03/2023,DVA US,DAVITA INC,0.01,49035862
31/03/2023,DE US,DEERE & CO,0.32,1218038527
31/03/2023,DAL US,DELTA AIR LINES INC,0.06,244286317
31/03/2023,XRAY US,DENTSPLY SIRONA INC,0.02,92285100
31/03/2023,DVN US,DEVON ENERGY CORP,0.1,359691546
31/03/2023,DXCM US,DEXCOM INC,0.13,488757642
31/03/2023,FANG US,DIAMONDBACK ENERGY INC,0.07,271009767
31/03/2023,DLR US,DIGITAL REALTY TRUST INC,0.08,306633904
31/03/2023,DFS US,DISCOVER FINANCIAL SERVICES,0.08,287899373
31/03/2023,DISH US,DISH NETWORK CORP-A,0.01,24993083
31/03/2023,DG US,DOLLAR GENERAL CORP,0.14,513321200
31/03/2023,DLTR US,DOLLAR TREE INC,0.09,328883529
31/03/2023,D US,DOMINION ENERGY INC,0.14,508259863
31/03/2023,DPZ US,DOMINO'S PIZZA INC,0.03,128435214
31/03/2023,DOV US,DOVER CORP,0.06,232205952
31/03/2023,DOW US,DOW INC,0.11,420161092
31/03/2023,DHI US,DR HORTON INC,0.09,333000592
31/03/2023,DTE US,DTE ENERGY COMPANY,0.06,231525606
31/03/2023,DUK US,DUKE ENERGY CORP,0.22,809169908
31/03/2023,DD US,DUPONT DE NEMOURS INC,0.1,358698206
31/03/2023,DXC US,DXC TECHNOLOGY CO,0.02,63747560
31/03/2023,EMN US,EASTMAN CHEMICAL CO,0.03,110198813
31/03/2023,ETN US,EATON CORP PLC,0.2,743396456
31/03/2023,EBAY US,EBAY INC,0.07,262236772
31/03/2023,ECL US,ECOLAB INC,0.12,447490160
31/03/2023,EIX US,EDISON INTERNATIONAL,0.08,293624964
31/03/2023,EW US,EDWARDS LIFESCIENCES CORP,0.15,557417367
31/03/2023,EA US,ELECTRONIC ARTS INC,0.09,345334004
31/03/2023,ELV US,ELEVANCE HEALTH INC,0.32,1198037254
31/03/2023,LLY US,ELI LILLY & CO,0.79,2954699138
31/03/2023,EMR US,EMERSON ELECTRIC CO,0.14,543178302
31/03/2023,ENPH US,ENPHASE ENERGY INC,0.08,311808020
31/03/2023,ETR US,ENTERGY CORP,0.06,239173211
31/03/2023,EOG US,EOG RESOURCES INC,0.2,733303814
31/03/2023,EPAM US,EPAM SYSTEMS INC,0.05,186182815
31/03/2023,EQT US,EQT CORP,0.03,126409359
31/03/2023,EFX US,EQUIFAX INC,0.07,270493225
31/03/2023,EQIX US,EQUINIX INC,0.19,726748474
31/03/2023,EQR US,EQUITY RESIDENTIAL,0.06,222937440
31/03/2023,ESS US,ESSEX PROPERTY TRUST INC,0.04,146091819
31/03/2023,EL US,ESTEE LAUDER COMPANIES-CL A,0.17,622914588
31/03/2023,ETSY US,ETSY INC,0.04,152016328
31/03/2023,RE US,EVEREST RE GROUP LTD,0.04,153432335
31/03/2023,EVRG US,EVERGY INC,0.04,153051570
31/03/2023,ES US,EVERSOURCE ENERGY,0.08,297376887
31/03/2023,EXC US,EXELON CORP,0.12,454135899
31/03/2023,EXPE US,EXPEDIA GROUP INC,0.04,157288444
31/03/2023,EXPD US,EXPEDITORS INTL WASH INC,0.05,190877163
31/03/2023,EXR US,EXTRA SPACE STORAGE INC,0.06,238052298
31/03/2023,XOM US,EXXON MOBIL CORP,1.31,4926509604
31/03/2023,FFIV US,F5 INC,0.03,94024829
31/03/2023,FDS US,FACTSET RESEARCH SYSTEMS INC,0.05,173236151
31/03/2023,FICO US,FAIR ISAAC CORP,0.05,192828676
31/03/2023,FAST US,FASTENAL CO,0.09,335912051
31/03/2023,FRT US,FEDERAL REALTY INVS TRUST,0.02,78713154
31/03/2023,FDX US,FEDEX CORP,0.15,578821150
31/03/2023,FIS US,FIDELITY NATIONAL INFO SERV,0.09,351149948
31/03/2023,FITB US,FIFTH THIRD BANCORP,0.05,199172468
31/03/2023,FRC US,FIRST REPUBLIC BANK/CA,0.01,27739470
31/03/2023,FSLR US,FIRST SOLAR INC,0.06,234869985
31/03/2023,FE US,FIRSTENERGY CORP,0.06,236023625
31/03/2023,FISV US,FISERV INC,0.21,781690613
31/03/2023,FLT US,FLEETCOR TECHNOLOGIES INC,0.05,169381287
31/03/2023,FMC US,FMC CORP,0.04,166982609
31/03/2023,F US,FORD MOTOR CO,0.14,540038041
31/03/2023,FTNT US,FORTINET INC,0.12,469319585
31/03/2023,FTV US,FORTIVE CORP,0.07,262612927
31/03/2023,FOXA US,FOX CORP - CLASS A,0.03,113326878
31/03/2023,FOX US,FOX CORP - CLASS B,0.01,47509450
31/03/2023,BEN US,FRANKLIN RESOURCES INC,0.02,83820927
31/03/2023,FCX US,FREEPORT-MCMORAN INC,0.17,637920921
31/03/2023,GRMN US,GARMIN LTD,0.04,169002852
31/03/2023,IT US,GARTNER INC,0.07,279711009
31/03/2023,GEHC US,GE HEALTHCARE TECHNOLOGY,0.09,324376014
31/03/2023,GEN US,GEN DIGITAL INC,0.03,107287941
31/03/2023,GNRC US,GENERAC HOLDINGS INC,0.02,73284353
31/03/2023,GD US,GENERAL DYNAMICS CORP,0.15,560261940
31/03/2023,GE US,GENERAL ELECTRIC CO,0.3,1134157196
31/03/2023,GIS US,GENERAL MILLS INC,0.15,552701868
31/03/2023,GM US,GENERAL MOTORS CO,0.15,558076553
31/03/2023,GPC US,GENUINE PARTS CO,0.07,257653385
31/03/2023,GILD US,GILEAD SCIENCES INC,0.3,1128735745
31/03/2023,GPN US,GLOBAL PAYMENTS INC,0.08,302046062
31/03/2023,GL US,GLOBE LIFE INC,0.03,108066925
31/03/2023,GS US,GOLDMAN SACHS GROUP INC,0.32,1208447707
31/03/2023,HAL US,HALLIBURTON CO,0.08,312939312
31/03/2023,HIG US,HARTFORD FINANCIAL SVCS GRP,0.06,241424001
31/03/2023,HAS US,HASBRO INC,0.02,74272652
31/03/2023,HCA US,HCA HEALTHCARE INC,0.16,608903567
31/03/2023,PEAK US,HEALTHPEAK PROPERTIES INC,0.03,131053203
31/03/2023,HSIC US,HENRY SCHEIN INC,0.03,120388918
31/03/2023,HSY US,HERSHEY CO/THE,0.11,407917687
31/03/2023,HES US,HESS CORP,0.11,400608664
31/03/2023,HPE US,HEWLETT PACKARD ENTERPRISE,0.06,223766050
31/03/2023,HLT US,HILTON WORLDWIDE HOLDINGS IN,0.11,409495707
31/03/2023,HOLX US,HOLOGIC INC,0.06,219466152
31/03/2023,HD US,HOME DEPOT INC,0.87,3281357532
31/03/2023,HON US,HONEYWELL INTERNATIONAL INC,0.37,1393081707
31/03/2023,HRL US,HORMEL FOODS CORP,0.03,125258215
31/03/2023,HST US,HOST HOTELS & RESORTS INC,0.03,128631581
31/03/2023,HWM US,HOWMET AEROSPACE INC,0.05,169848365
31/03/2023,HPQ US,HP INC,0.07,276738508
31/03/2023,HUM US,HUMANA INC,0.18,661858202
31/03/2023,JBHT US,HUNT (JB) TRANSPRT SVCS INC,0.04,158631631
31/03/2023,HBAN US,HUNTINGTON BANCSHARES INC,0.05,174432978
31/03/2023,HII US,HUNTINGTON INGALLS INDUSTRIE,0.02,89329544
31/03/2023,IEX US,IDEX CORP,0.05,188753127
31/03/2023,IDXX US,IDEXX LABORATORIES INC,0.12,452042815
31/03/2023,ITW US,ILLINOIS TOOL WORKS,0.2,741133374
31/03/2023,ILMN US,ILLUMINA INC,0.11,398388382
31/03/2023,INCY US,INCYTE CORP,0.04,146176482
31/03/2023,IR US,INGERSOLL-RAND INC,0.07,257013466
31/03/2023,PODD US,INSULET CORP,0.06,242154751
31/03/2023,INTC US,INTEL CORP,0.39,1474478840
31/03/2023,ICE US,INTERCONTINENTAL EXCHANGE IN,0.17,635827450
31/03/2023,IP US,INTERNATIONAL PAPER CO,0.04,141572570
31/03/2023,IPG US,INTERPUBLIC GROUP OF COS INC,0.04,157620013
31/03/2023,IBM US,INTL BUSINESS MACHINES CORP,0.34,1293020111
31/03/2023,IFF US,INTL FLAVORS & FRAGRANCES,0.07,255358298
31/03/2023,INTU US,INTUIT INC,0.36,1368666446
31/03/2023,ISRG US,INTUITIVE SURGICAL INC,0.26,976564476
31/03/2023,IVZ US,INVESCO LTD,0.02,80951728
31/03/2023,INVH US,INVITATION HOMES INC,0.05,196483639
31/03/2023,IQV US,IQVIA HOLDINGS INC,0.11,402424280
31/03/2023,IRM US,IRON MOUNTAIN INC,0.04,167805917
31/03/2023,JKHY US,JACK HENRY & ASSOCIATES INC,0.03,119616818
31/03/2023,J US,JACOBS SOLUTIONS INC,0.04,164536914
31/03/2023,SJM US,JM SMUCKER CO/THE,0.05,183315120
31/03/2023,JNJ US,JOHNSON & JOHNSON,1.18,4421013385
31/03/2023,JCI US,JOHNSON CONTROLS INTERNATION,0.12,450146909
31/03/2023,JPM US,JPMORGAN CHASE & CO,1.11,4169884034
31/03/2023,JNPR US,JUNIPER NETWORKS INC,0.03,120289088
31/03/2023,K US,KELLOGG CO,0.05,186696198
31/03/2023,KDP US,KEURIG DR PEPPER INC,0.09,325288409
31/03/2023,KEY US,KEYCORP,0.03,127479579
31/03/2023,KEYS US,KEYSIGHT TECHNOLOGIES IN,0.08,315440845
31/03/2023,KMB US,KIMBERLY-CLARK CORP,0.13,494204617
31/03/2023,KIM US,KIMCO REALTY CORP,0.03,129955120
31/03/2023,KMI US,KINDER MORGAN INC,0.1,376787919
31/03/2023,KLAC US,KLA CORP,0.16,603074419
31/03/2023,KHC US,KRAFT HEINZ CO/THE,0.09,334281694
31/03/2023,KR US,KROGER CO,0.09,350357710
31/03/2023,LHX US,L3HARRIS TECHNOLOGIES INC,0.11,407237640
31/03/2023,LH US,LABORATORY CRP OF AMER HLDGS,0.06,221414160
31/03/2023,LRCX US,LAM RESEARCH CORP,0.21,780361026
31/03/2023,LW US,LAMB WESTON HOLDINGS INC,0.04,162913234
31/03/2023,LVS US,LAS VEGAS SANDS CORP,0.05,204846995
31/03/2023,LDOS US,LEIDOS HOLDINGS INC,0.04,136295935
31/03/2023,LEN US,LENNAR CORP-A,0.08,290859026
31/03/2023,LNC US,LINCOLN NATIONAL CORP,0.01,37783889
31/03/2023,LIN US,LINDE PLC,0.51,1930682546
31/03/2023,LYV US,LIVE NATION ENTERTAINMENT IN,0.03,107915290
31/03/2023,LKQ US,LKQ CORP,0.04,156901498
31/03/2023,LMT US,LOCKHEED MARTIN CORP,0.31,1171766251
31/03/2023,L US,LOEWS CORP,0.03,122827586
31/03/2023,LOW US,LOWE'S COS INC,0.35,1319201690
31/03/2023,LYB US,LYONDELLBASELL INDU-CL A,0.07,259313570
31/03/2023,MTB US,M & T BANK CORP,0.06,220828572
31/03/2023,MRO US,MARATHON OIL CORP,0.04,165721976
31/03/2023,MPC US,MARATHON PETROLEUM CORP,0.18,667801799
31/03/2023,MKTX US,MARKETAXESS HOLDINGS INC,0.04,159826313
31/03/2023,MAR US,MARRIOTT INTERNATIONAL -CL A,0.13,486607118
31/03/2023,MMC US,MARSH & MCLENNAN COS,0.24,899714758
31/03/2023,MLM US,MARTIN MARIETTA MATERIALS,0.06,240500956
31/03/2023,MAS US,MASCO CORP,0.03,121714858
31/03/2023,MA US,MASTERCARD INC - A,0.89,3345024789
31/03/2023,MTCH US,MATCH GROUP INC,0.03,117085354
31/03/2023,MKC US,MCCORMICK & CO-NON VTG SHRS,0.06,227131930
31/03/2023,MCD US,MCDONALD'S CORP,0.59,2234167783
31/03/2023,MCK US,MCKESSON CORP,0.14,531934783
31/03/2023,MDT US,MEDTRONIC PLC,0.31,1169925434
31/03/2023,MRK US,MERCK & CO. INC.,0.78,2942729101
31/03/2023,META US,META PLATFORMS INC-CLASS A,1.37,5146305674
31/03/2023,MET US,METLIFE INC,0.11,415895580
31/03/2023,MTD US,METTLER-TOLEDO INTERNATIONAL,0.1,371285564
31/03/2023,MGM US,MGM RESORTS INTERNATIONAL,0.04,154165562
31/03/2023,MCHP US,MICROCHIP TECHNOLOGY INC,0.13,500743509
31/03/2023,MU US,MICRON TECHNOLOGY INC,0.19,718299126
31/03/2023,MSFT US,MICROSOFT CORP,6.23,23412305032
31/03/2023,MAA US,MID-AMERICA APARTMENT COMM,0.05,190284874
31/03/2023,MRNA US,MODERNA INC,0.15,552576386
31/03/2023,MHK US,MOHAWK INDUSTRIES INC,0.01,55844989
31/03/2023,MOH US,MOLINA HEALTHCARE INC,0.04,168812939
31/03/2023,TAP US,MOLSON COORS BEVERAGE CO - B,0.03,105346786
31/03/2023,MDLZ US,MONDELEZ INTERNATIONAL INC-A,0.28,1037171383
31/03/2023,MPWR US,MONOLITHIC POWER SYSTEMS INC,0.06,244376642
31/03/2023,MNST US,MONSTER BEVERAGE CORP,0.12,448047192
31/03/2023,MCO US,MOODY'S CORP,0.14,524006921
31/03/2023,MS US,MORGAN STANLEY,0.33,1251442023
31/03/2023,MOS US,MOSAIC CO/THE,0.05,170118498
31/03/2023,MSI US,MOTOROLA SOLUTIONS INC,0.14,521941464
31/03/2023,MSCI US,MSCI INC,0.13,487528049
31/03/2023,NDAQ US,NASDAQ INC,0.05,201145254
31/03/2023,NTAP US,NETAPP INC,0.04,151141697
31/03/2023,NFLX US,NETFLIX INC,0.45,1678507325
31/03/2023,NWL US,NEWELL BRANDS INC,0.01,50933316
31/03/2023,NEM US,NEWMONT CORP,0.11,424477072
31/03/2023,NWSA US,NEWS CORP - CLASS A,0.02,73131507
31/03/2023,NWS US,NEWS CORP - CLASS B,0.01,23159136
31/03/2023,NEE US,NEXTERA ENERGY INC,0.44,1671008918
31/03/2023,NKE US,NIKE INC -CL B,0.44,1666617261
31/03/2023,NI US,NISOURCE INC,0.03,122724632
31/03/2023,NDSN US,NORDSON CORP,0.03,130146566
31/03/2023,NSC US,NORFOLK SOUTHERN CORP,0.14,526824664
31/03/2023,NTRS US,NORTHERN TRUST CORP,0.05,200388143
31/03/2023,NOC US,NORTHROP GRUMMAN CORP,0.19,728082113
31/03/2023,NCLH US,NORWEGIAN CRUISE LINE HOLDIN,0.02,60506036
31/03/2023,NRG US,NRG ENERGY INC,0.02,87583107
31/03/2023,NUE US,NUCOR CORP,0.11,426361452
31/03/2023,NVDA US,NVIDIA CORP,1.98,7454597932
31/03/2023,NVR US,NVR INC,0.05,182851412
31/03/2023,NXPI US,NXP SEMICONDUCTORS NV,0.14,526257997
31/03/2023,ORLY US,O'REILLY AUTOMOTIVE INC,0.15,578775135
31/03/2023,OXY US,OCCIDENTAL PETROLEUM CORP,0.13,494401524
31/03/2023,ODFL US,OLD DOMINION FREIGHT LINE,0.09,336306828
31/03/2023,OMC US,OMNICOM GROUP,0.06,209568291
31/03/2023,ON US,ON SEMICONDUCTOR,0.1,387031431
31/03/2023,OKE US,ONEOK INC,0.08,309327207
31/03/2023,ORCL US,ORACLE CORP,0.41,1557936118
31/03/2023,OGN US,ORGANON & CO,0.02,64435439
31/03/2023,OTIS US,OTIS WORLDWIDE CORP,0.1,384533152
31/03/2023,PCG US,P G & E CORP,0.08,283559691
31/03/2023,PCAR US,PACCAR INC,0.11,415922803
31/03/2023,PKG US,PACKAGING CORP OF AMERICA,0.04,141890369
31/03/2023,PARA US,PARAMOUNT GLOBAL-CLASS B,0.03,122248627
31/03/2023,PH US,PARKER HANNIFIN CORP,0.13,470325781
31/03/2023,PAYX US,PAYCHEX INC,0.11,400332541
31/03/2023,PAYC US,PAYCOM SOFTWARE INC,0.04,160946846
31/03/2023,PYPL US,PAYPAL HOLDINGS INC,0.25,937305625
31/03/2023,PNR US,PENTAIR PLC,0.03,98498601
31/03/2023,PEP US,PEPSICO INC,0.73,2739080105
31/03/2023,PKI US,PERKINELMER INC,0.05,183634812
31/03/2023,PFE US,PFIZER INC,0.66,2498526067
31/03/2023,PM US,PHILIP MORRIS INTERNATIONAL,0.44,1644716799
31/03/2023,PSX US,PHILLIPS 66,0.14,515403450
31/03/2023,PNW US,PINNACLE WEST CAPITAL,0.03,96678822
31/03/2023,PXD US,PIONEER NATURAL RESOURCES CO,0.14,529100672
31/03/2023,PNC US,PNC FINANCIAL SERVICES GROUP,0.15,558334031
31/03/2023,POOL US,POOL CORP,0.04,145606173
31/03/2023,PPG US,PPG INDUSTRIES INC,0.09,340755100
31/03/2023,PPL US,PPL CORP,0.06,221805385
31/03/2023,PFG US,PRINCIPAL FINANCIAL GROUP,0.05,184184729
31/03/2023,PG US,PROCTER & GAMBLE CO/THE,1.02,3826837801
31/03/2023,PGR US,PROGRESSIVE CORP,0.24,911691624
31/03/2023,PLD US,PROLOGIS INC,0.33,1254484618
31/03/2023,PRU US,PRUDENTIAL FINANCIAL INC,0.09,331618031
31/03/2023,PTC US,PTC INC,0.04,148886827
31/03/2023,PEG US,PUBLIC SERVICE ENTERPRISE GP,0.09,339442791
31/03/2023,PSA US,PUBLIC STORAGE,0.14,521043149
31/03/2023,PHM US,PULTEGROUP INC,0.04,146291192
31/03/2023,QRVO US,QORVO INC,0.03,113866877
31/03/2023,QCOM US,QUALCOMM INC,0.41,1554953078
31/03/2023,PWR US,QUANTA SERVICES INC,0.07,259792593
31/03/2023,DGX US,QUEST DIAGNOSTICS INC,0.05,175471843
31/03/2023,RL US,RALPH LAUREN CORP,0.01,52192675
31/03/2023,RJF US,RAYMOND JAMES FINANCIAL INC,0.05,196160707
31/03/2023,RTX US,RAYTHEON TECHNOLOGIES CORP,0.42,1565104137
31/03/2023,O US,REALTY INCOME CORP,0.12,432551457
31/03/2023,REG US,REGENCY CENTERS CORP,0.03,102793902
31/03/2023,REGN US,REGENERON PHARMACEUTICALS,0.26,963648003
31/03/2023,RF US,REGIONS FINANCIAL CORP,0.05,189652409
31/03/2023,RSG US,REPUBLIC SERVICES INC,0.08,301463389
31/03/2023,RMD US,RESMED INC,0.09,349439934
31/03/2023,RHI US,ROBERT HALF INTL INC,0.03,96282600
31/03/2023,ROK US,ROCKWELL AUTOMATION INC,0.1,365975874
31/03/2023,ROL US,ROLLINS INC,0.03,94611816
31/03/2023,ROP US,ROPER TECHNOLOGIES INC,0.14,509070105
31/03/2023,ROST US,ROSS STORES INC,0.11,402619650
31/03/2023,RCL US,ROYAL CARIBBEAN CRUISES LTD,0.04,155204779
31/03/2023,SPGI US,S&P GLOBAL INC,0.33,1238217321
31/03/2023,CRM US,SALESFORCE INC,0.58,2179493317
31/03/2023,SBAC US,SBA COMMUNICATIONS CORP,0.08,307494512
31/03/2023,SLB US,SCHLUMBERGER LTD,0.2,760730064
31/03/2023,SCHW US,SCHWAB (CHARLES) CORP,0.23,871622266
31/03/2023,STX US,SEAGATE TECHNOLOGY HOLDINGS,0.04,140049499
